MPA,Category,Indicator,Score,Count,Indicator2
Brazil MER 1996-2007,Community,Employment,3,1,1
Brazil MER 1996-2007,Community,Working Conditions/safety,4,1,2
Brazil MER 1996-2007,Community,Food security,2,1,3
Brazil MER 1996-2007,Community,Women's involvement,3,1,4
Brazil MER 1996-2007,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Brazil MER 1996-2007,Enabling Conditions,Enforcement capacity,,1,2
Brazil MER 1996-2007,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Brazil MER 1996-2007,Enabling Conditions,Fisher participation in adaptive management,,1,4
Brazil MER 1996-2007,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Brazil MER 1996-2007,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Brazil MER 1996-2007,Enabling Conditions,Increase access to urban/export markets,,1,7
Brazil MER 2008-,Ecology,Target abundance/biomass in protected area,4,1,1
Brazil MER 2008-,Ecology,Target abundance/biomass outside protected area,0,1,2
Brazil MER 2008-,Ecology,Non-target abundance/biomass in protected area,2,1,3
Brazil MER 2008-,Ecology,Non-target abundance/biomass outside protected area,0,1,4
Brazil MER 2008-,Ecology,Habitat quality in protected area,0,1,5
Brazil MER 2008-,Ecology,Habitat quality outside protected area,0,1,6
Brazil MER 2008-,Economics,Total Catch,0,1,1
Brazil MER 2008-,Economics,CPUE (new 2/21),0,1,2
Brazil MER 2008-,Economics,Total Revenue,2,1,3
Brazil MER 2008-,Economics,No. vessels,2,1,4
Brazil MER 2008-,Economics,Catch per vessel/fisherman (new 2/14),2,1,5
Brazil MER 2008-,Economics,Costs,2,1,6
Brazil MER 2008-,Economics,Net Revenue,0,1,7
Brazil MER 2008-,Economics,Ex vessel price,0,1,8
Brazil MER 2008-,Economics,Wholesale prices,0,1,9
Brazil MER 2008-,Economics,Anything about processing,0,1,10
Brazil MER 2008-,Community,Employment,3,1,1
Brazil MER 2008-,Community,Working Conditions/safety,2,1,2
Brazil MER 2008-,Community,Food security,2,1,3
Brazil MER 2008-,Community,Women's involvement,2,1,4
Brazil MER 2008-,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Brazil MER 2008-,Enabling Conditions,Enforcement capacity,,1,2
Brazil MER 2008-,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Brazil MER 2008-,Enabling Conditions,Fisher participation in adaptive management,,1,4
Brazil MER 2008-,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Brazil MER 2008-,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Brazil MER 2008-,Enabling Conditions,Increase access to urban/export markets,,1,7
TURFs in Chile,Ecology,Target abundance/biomass in protected area,4,1,1
TURFs in Chile,Ecology,Target abundance/biomass outside protected area,2,1,2
TURFs in Chile,Ecology,Non-target abundance/biomass in protected area,2,1,3
TURFs in Chile,Ecology,Non-target abundance/biomass outside protected area,2,1,4
TURFs in Chile,Ecology,Habitat quality in protected area,2,1,5
TURFs in Chile,Ecology,Habitat quality outside protected area,0,1,6
TURFs in Chile,Economics,Total Catch,3,1,1
TURFs in Chile,Economics,CPUE (new 2/21),0,1,2
TURFs in Chile,Economics,Total Revenue,1,1,3
TURFs in Chile,Economics,No. vessels,2,1,4
TURFs in Chile,Economics,Catch per vessel/fisherman (new 2/14),2,1,5
TURFs in Chile,Economics,Costs,0,1,6
TURFs in Chile,Economics,Net Revenue,3,1,7
TURFs in Chile,Economics,Ex vessel price,2,1,8
TURFs in Chile,Economics,Wholesale prices,0,1,9
TURFs in Chile,Economics,Anything about processing,0,1,10
TURFs in Chile,Community,Employment,3,1,1
TURFs in Chile,Community,Working Conditions/safety,3,1,2
TURFs in Chile,Community,Food security,2,1,3
TURFs in Chile,Community,Women's involvement,3,1,4
TURFs in Chile,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
TURFs in Chile,Enabling Conditions,Enforcement capacity,,1,2
TURFs in Chile,Enabling Conditions,Fisher participation in design of spatial program,,1,3
TURFs in Chile,Enabling Conditions,Fisher participation in adaptive management,,1,4
TURFs in Chile,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
TURFs in Chile,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
TURFs in Chile,Enabling Conditions,Increase access to urban/export markets,,1,7
Isla Natividad TURFs,Ecology,Target abundance/biomass in protected area,5,1,1
Isla Natividad TURFs,Ecology,Target abundance/biomass outside protected area,5,1,2
Isla Natividad TURFs,Ecology,Non-target abundance/biomass in protected area,5,1,3
Isla Natividad TURFs,Ecology,Non-target abundance/biomass outside protected area,5,1,4
Isla Natividad TURFs,Ecology,Habitat quality in protected area,0,1,5
Isla Natividad TURFs,Ecology,Habitat quality outside protected area,0,1,6
Isla Natividad TURFs,Economics,Total Catch,5,1,1
Isla Natividad TURFs,Economics,CPUE (new 2/21),0,1,2
Isla Natividad TURFs,Economics,Total Revenue,5,1,3
Isla Natividad TURFs,Economics,No. vessels,0,1,4
Isla Natividad TURFs,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Isla Natividad TURFs,Economics,Costs,3,1,6
Isla Natividad TURFs,Economics,Net Revenue,5,1,7
Isla Natividad TURFs,Economics,Ex vessel price,0,1,8
Isla Natividad TURFs,Economics,Wholesale prices,0,1,9
Isla Natividad TURFs,Economics,Anything about processing,0,1,10
Isla Natividad TURFs,Community,Employment,3,1,1
Isla Natividad TURFs,Community,Working Conditions/safety,0,1,2
Isla Natividad TURFs,Community,Food security,0,1,3
Isla Natividad TURFs,Community,Women's involvement,3,1,4
Isla Natividad TURFs,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Isla Natividad TURFs,Enabling Conditions,Enforcement capacity,,1,2
Isla Natividad TURFs,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Isla Natividad TURFs,Enabling Conditions,Fisher participation in adaptive management,,1,4
Isla Natividad TURFs,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Isla Natividad TURFs,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Isla Natividad TURFs,Enabling Conditions,Increase access to urban/export markets,,1,7
Kyoto Crab,Ecology,Target abundance/biomass in protected area,2,1,1
Kyoto Crab,Ecology,Target abundance/biomass outside protected area,4,1,2
Kyoto Crab,Ecology,Non-target abundance/biomass in protected area,0,1,3
Kyoto Crab,Ecology,Non-target abundance/biomass outside protected area,0,1,4
Kyoto Crab,Ecology,Habitat quality in protected area,0,1,5
Kyoto Crab,Ecology,Habitat quality outside protected area,0,1,6
Kyoto Crab,Economics,Total Catch,4,1,1
Kyoto Crab,Economics,CPUE (new 2/21),4,1,2
Kyoto Crab,Economics,Total Revenue,4,1,3
Kyoto Crab,Economics,No. vessels,5,1,4
Kyoto Crab,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Kyoto Crab,Economics,Costs,3,1,6
Kyoto Crab,Economics,Net Revenue,3,1,7
Kyoto Crab,Economics,Ex vessel price,1,1,8
Kyoto Crab,Economics,Wholesale prices,0,1,9
Kyoto Crab,Economics,Anything about processing,0,1,10
Kyoto Crab,Community,Employment,5,1,1
Kyoto Crab,Community,Working Conditions/safety,1,1,2
Kyoto Crab,Community,Food security,0,1,3
Kyoto Crab,Community,Women's involvement,0,1,4
Kyoto Crab,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Kyoto Crab,Enabling Conditions,Enforcement capacity,,1,2
Kyoto Crab,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Kyoto Crab,Enabling Conditions,Fisher participation in adaptive management,,1,4
Kyoto Crab,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Kyoto Crab,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Kyoto Crab,Enabling Conditions,Increase access to urban/export markets,,1,7
Trawl Rockfish RCAs,Ecology,Target abundance/biomass in protected area,4,1,1
Trawl Rockfish RCAs,Ecology,Target abundance/biomass outside protected area,0,1,2
Trawl Rockfish RCAs,Ecology,Non-target abundance/biomass in protected area,4,1,3
Trawl Rockfish RCAs,Ecology,Non-target abundance/biomass outside protected area,0,1,4
Trawl Rockfish RCAs,Ecology,Habitat quality in protected area,1,1,5
Trawl Rockfish RCAs,Ecology,Habitat quality outside protected area,0,1,6
Trawl Rockfish RCAs,Economics,Total Catch,4,1,1
Trawl Rockfish RCAs,Economics,CPUE (new 2/21),0,1,2
Trawl Rockfish RCAs,Economics,Total Revenue,4,1,3
Trawl Rockfish RCAs,Economics,No. vessels,4,1,4
Trawl Rockfish RCAs,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
Trawl Rockfish RCAs,Economics,Costs,4,1,6
Trawl Rockfish RCAs,Economics,Net Revenue,1,1,7
Trawl Rockfish RCAs,Economics,Ex vessel price,4,1,8
Trawl Rockfish RCAs,Economics,Wholesale prices,0,1,9
Trawl Rockfish RCAs,Economics,Anything about processing,3,1,10
Trawl Rockfish RCAs,Community,Employment,3,1,1
Trawl Rockfish RCAs,Community,Working Conditions/safety,0,1,2
Trawl Rockfish RCAs,Community,Food security,0,1,3
Trawl Rockfish RCAs,Community,Women's involvement,0,1,4
Trawl Rockfish RCAs,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
Trawl Rockfish RCAs,Enabling Conditions,Enforcement capacity,,1,2
Trawl Rockfish RCAs,Enabling Conditions,Fisher participation in design of spatial program,,1,3
Trawl Rockfish RCAs,Enabling Conditions,Fisher participation in adaptive management,,1,4
Trawl Rockfish RCAs,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
Trawl Rockfish RCAs,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
Trawl Rockfish RCAs,Enabling Conditions,Increase access to urban/export markets,,1,7
NZ Rock Lobster,Ecology,Target abundance/biomass in protected area,3,1,1
NZ Rock Lobster,Ecology,Target abundance/biomass outside protected area,3,1,2
NZ Rock Lobster,Ecology,Non-target abundance/biomass in protected area,3,1,3
NZ Rock Lobster,Ecology,Non-target abundance/biomass outside protected area,3,1,4
NZ Rock Lobster,Ecology,Habitat quality in protected area,3,1,5
NZ Rock Lobster,Ecology,Habitat quality outside protected area,3,1,6
NZ Rock Lobster,Economics,Total Catch,4,1,1
NZ Rock Lobster,Economics,CPUE (new 2/21),0,1,2
NZ Rock Lobster,Economics,Total Revenue,4,1,3
NZ Rock Lobster,Economics,No. vessels,4,1,4
NZ Rock Lobster,Economics,Catch per vessel/fisherman (new 2/14),0,1,5
NZ Rock Lobster,Economics,Costs,4,1,6
NZ Rock Lobster,Economics,Net Revenue,1,1,7
NZ Rock Lobster,Economics,Ex vessel price,4,1,8
NZ Rock Lobster,Economics,Wholesale prices,0,1,9
NZ Rock Lobster,Economics,Anything about processing,3,1,10
NZ Rock Lobster,Community,Employment,3,1,1
NZ Rock Lobster,Community,Working Conditions/safety,0,1,2
NZ Rock Lobster,Community,Food security,0,1,3
NZ Rock Lobster,Community,Women's involvement,0,1,4
NZ Rock Lobster,Enabling Conditions,Institutional governance capacity of management group/agency,,1,1
NZ Rock Lobster,Enabling Conditions,Enforcement capacity,,1,2
NZ Rock Lobster,Enabling Conditions,Fisher participation in design of spatial program,,1,3
NZ Rock Lobster,Enabling Conditions,Fisher participation in adaptive management,,1,4
NZ Rock Lobster,Enabling Conditions,"Other stakeholder participation (e.g., tourism industry)",,1,5
NZ Rock Lobster,Enabling Conditions,Scientific input and advice applied in design of spatial and supporting regulations,,1,6
NZ Rock Lobster,Enabling Conditions,Increase access to urban/export markets,,1,7
